
ABACUS,주판
FLAM,"거짓,허위,속임수,헛소리"
ANODYNE,"진통제,진정제"
GAMBOL,뛰놀다
IMPLEMENT,이행하다
PROXIMATE,"(관계, 원인, 장소, 시간) 가장 가까운; 근사값의"
STIFLE,"제한하다, 억제하다"
IRRADICABLE,제거할 수 없는
RUMINANT or RUMINATIVE,"반추하는, 생각에 잠긴"
GRAPEVINE,"유언비어,낭설"
ENTICE,유혹하다
CHOREOGRAPHER,안무가
SOMNOLENCE,졸리움
DELEGATE,위임하다; (회의) 대표로 파견하다
SLOVENLY,"지저분한, 단정치 못한; 되는대로 하는, 날림의"
SNUG,"편안한; 깔끔한, 말끔한"
RELAXATION,긴장의 이완;몸과 마음의 재충전;느슨해지기
DISCOMBOBULATE,혼란스럽게 하다
STIFF,유연하지 않은; 뻣뻣한
DEMURRABLE,이의를 주장할 수 있는
HYPNOTIC,"최면에 걸리게 하는, 잠이 오게 하는"
TRITE,진부한
PRY,사적인 문제를 지나치게 캐묻다
VACILLATE,"마음이 오락가락하다, 주저하다"
SOBRIETY,"근엄, 엄숙, (색깔) 어두움"
TRESPASS,"(종교)죄,위반,부정; 불법침해, 불법침입; 죄를 범하다; 침해하다, 침입하다"
MASTICATE,씹다
SAWDUST,톱밥
RIP,"거칠게 찢다, 갈기갈기 찢다"
SAPIENT,"슬기로운, 지혜로운"
ASIDE,여담
CORRECTIVE,"교정하는, 올바르게 하는"
EXPEDITE,"촉진시키다, 추진하다, 신속히 처리하다"
HEARTEN,"용기를 주다, 확신을 주다"
DUPE,속이다
OSSIFY,골화(骨化)되다;보수화되다
UNSUBSTANTIATED,증거로 증명되지 않은
PENDULUM,시계추
PASTORAL,전원적인
DISMOUNT,(말 등에서) 내리다 
CONGEAL,"응결시키다, 경직시키다"
REPRESS,"억압하다, 억제하다"
BELEAGUER,괴롭히다; 포위 공격하다
RAFT,부대(floating platform); 뗏목
FOIL,"방해하다, 막다"
HAIRBREADTH,털끝만한 간격
FLOCK,"떼로 모이다, 움직이다."
IMPERTURBABILITY,"침착, 차분, 평정"
MYOPIA,근시안
DART,돌진하다
GRATUITOUS,"무료의, 필요 없는, 근거 없는"
GALLANT,"용감한; 정중한,기사도적인"
ENTHRALL,마음을 사로잡다; 노예로 만들다
PERSEVERE,"인내하다,견디다"
WILT,시들다
WORDSMITH,(말에 능숙한)문장가
CONSONANCE,"일치, 조화, 화음"
CORROBORATE,"증명하다, 확증하다"
BELLIGERENT,"호전적인, 전쟁 중에 있는"
HEED,주의를 기울이다
PERPETRATE,"(범죄,과실,실책) 범하다,저지르다"
TIRESOME,"지루하게 하는, 짜능나게 하는"
UNKEMPT,"(외모) 흐트러진, 단정하지 못한"
MUTE,소리 없는
WILDERNESS,"광야,황무지"
PLIABLE,모양이 잘 휘는; 고분고분한
BRAKE,제동장치
HALCYON,"평온한,평화로운"
ARRHYTHEMIC,"리듬이 없는, 규칙성이나 반복이 없는"
COAGULANT,(혈액 등) 응고제
REVULSION,"역겨움, 혐오감"
UNPLUMBED,(깊이 등이) 완전히 측정되지 않은
FITFUL,"불규칙적인, 발작적인"
MALADY,"질병, 병폐"
DILATE,확장되다; 장황하게 말하다
COMPUNCTION,양심의 가책
CONSTERNATION,"대경실색, 깜짝 놀람"
CALLOUS,"냉담한, 무감각한"
STAID,"조용한, 진지한"
FINGERPRINT,지문
PERNICIOUS,해로운
CONTROVERT,"부인하다, 반박하다"
VENIAL,"(죄, 잘못) 사소한, 용서받을만한"
RESCISSION,"철회, 취소"
GROUCH,"불평꾼,짜증 잘내는 사람"
PROFOUND,심오한; (사람) 큰 지식과 통찰력이 있는
MURKY,"어둑어둑한, 안개가자욱한, 모호한, 애매한"
PERMUTE,"변경하다,순서를 바꾸다"
INSATIABLE,"(식욕, 욕망)만족시킬 수 없는"
INCENSE,몹시 화나게 하다
NITROGEN,질소
DEPRAVITY,"타락,부패,사악"
THERMAL,열의
INHERENT,"본질적인, 타고난"
HELTER-SKELTER,허둥지둥
OBSCENITY,"저속한 행동,말"
VETO,"금지, 거부; 거부권"
ZEST,"기분 좋은 맛,자극,흥미,관심"
CRUMB,빵 부스러기
GLUTTON,"식신, 식탐이 강한 사람"
APPREHENSIVE,"걱정하는,겁내는"
FRIGHTEN,"겁나게 하다, 놀라게 하다"
INERADICABLE,제거되어질 수 없는
DAUNT,위협하다
DERELICT,"태만한, 나태한; (건물) 방치된, 버려진"
DISPUTABLE,논쟁의 여지가 있는
OVERT,"공공연한,명백한,숨김없는"
DILATORY,"행동이 느린, 늑장부리는"
DELINEATE,정확하게 묘사하다
DEPRECATE,비난하다; 반대하다
DIMINUTION,"축소, 감소"
TIMEWORN,너무 오래 입어서 해어진; 너무 많이 써먹은; 진부한
