
ABACUS,주판
DAUNTLESS,겁 없는
CESSATION,"끝, 중지"
HIGH-STRUNG,"신경이 날카로운, 화 잘 내는"
SLUICE,물을 흘려 씻다; 수문
TENACITY,"고집, 인내, 끈기"
ACCLAIM,칭송하다; 환호를 보내다
AGREEABLE,"상쾌한,기분을 좋게 해주는;동의하는"
CAPTOR,"포획자, 획득자"
PRESCRIBE,"규정, 명령, 처방하다"
RANGE,산맥
DEBRIS,"파편, 잔해, 부스러기"
PRECARIOUS,"위태로운, 불확실한"
LURID,"무시무시한;(색깔)매우 밝은, 선정적인"
PONTIFICATE,오만하고 독단적으로 말하다
SPLEEN,"울화, 악의"
BEFUDDLE,혼란스럽게 하다
SERRIED,"(사람, 물건) 꽉 찬, 빽빽한"
BLATANT,"뻔한, 몹시떠들석한; 야단법석의"
COLLAPSE,"붕괴하다, 붕괴시키다"
SECRETIVE,"비밀의, 숨기려 하는"
APOPLECTIC,"성난,화난,뇌졸중에 걸린"
ROSTRUM,"연단, 강단, 설교단"
PREPONDERANT,"우세한, 압도적인, 능가하는"
REQUISITE,(어떤 목적이나 상황에)필요한
TRIVIAL,사소한
DISINGENUOUS,"솔직하지 않은, 부정직한"
MONOPOLIZE,독점하다
NIBBLE,"조금씩 물어뜯다,잠식하다"
CHAMPION,"옹호하다, 지지하다"
REDUNDANT,"잉여의, 불필요한, (말)장황한"
GARNER,"(정보,승인) 득하다, 수집하다"
PEREGRINATION,방랑
GROWL,으르렁거리다
BELLWETHER,"지도자, 선도자"
IMMORTALIZE,"불멸로 만들다, 불후의 명성을 주다"
MOLLIFY,달래다
TRADEMARK,등록상표(상품제조사의 상징)
LEARNED,유식한
GULLY,"(작은)계곡,협곡"
DEFERENTIAL,공손한
GRUMBLE,투덜거리다
DISPIRIT,"(열정, 사기, 희망 등을)잃게 하다"
TOPPLE,"앞으로 꼬꾸라지다, 비틀거리다, 몰락시키다"
FAIL-SAFE,(고장에 대비하여) 안전장치를 갖춘
JOCOSE,"익살맞은, 웃기는"
UNTOLD,"셀 수 없을 만큼 많은, 무수한"
ACRID,"(냄새와 맛)매운,신;(말,어조) 신랄한"
DESIST,멈추다; 삼가다
DRUDGERY,허드렛일
EMOLLIENT,"피부연화제, 완화제"
PUSILLANIMOUS,"소심한, 심약한"
DISINCLINED,"하기 싫은, 내키지 않는"
VIAL,"(유리로 된) 작은 병, 약병"
LEGERDEMAIN,"요술, 마술; 날랜 손재주; 속임수"
WANTING,부족한
CORUSCATE,"반짝반짝 빛나다, 번득이다"
STRUT,거만하게 걷다; 버팀목
FLAWED,결점이 있는
GRIM,"엄격한,단호한,잔인한,무서운,섬뜩한,무시무시한"
VAIN,헛된; 허영심 강한
SUBSTANTIAL,"상당히 크고 중요한; 튼튼한; 실제적인, 현실적인"
REACTIONARY,"개혁에 반대하는, 보수적인"
LEGEND,"(지도, 도표 등의) 범례, 기호의 설명 표"
ERA,"시대, (특정적인)시기, 연대"
CELEBRITY,"유명세, 유명인"
QUENCH,"불을 끄다; 억제하다; 갈증을 해소하다, 만족시키다"
LACKLUSTER,빛(광택)이 없는; 활기없는
NIMBLE,"민첩한,영리한"
ZEALOTRY,"광신,지나친 열정"
LUXURIANT,"무성한, 비옥한,  풍성한"
INSALVAGEABLE,구해낼 수 없는
PANEGYRIC,"칭송,찬양"
ESCHEW,피하다
CREEK,"시내, 지류"
ANTIPATHY,"반감,혐오"
DESPICABLE,"경멸스러운, 비열한, 야비한"
MEND,"고치다, 수선하다"
TRACE,소량
PRECIPICE,"절벽, 벼랑"
EXTRINSIC,"비본질적인, 외래의, 외부의"
PERVASIVE,널리 퍼져있는
FUSSY,지나치게 꼼꼼한
HAPLESS,운 없는
INTERIM,"중간의, 임시의"
DOUSE,(물)끼얹다/불을 끄다
DELUDE,속이다
ECLIPSE,"일식;명예, 권위 등을 실추시키다;명성의 상실, 권위의 추락"
STICKLER,끝까지 주장하는 사람; 당황스럽고 어려운 것
DEBAUCHERY,"방탕, 환락생활"
INSOLENT,"무례한, 불손한, 건방진"
INAUSPICIOUS,"불길한, 불리한, 불행한"
UNSEAT,"(말, 오토바이에서) 떨어지게 하다; (직위, 권좌에서) 물러나게 하다"
INFRACTION,"(법률, 약속) 위반"
GRUELING,몹시 힘든
RAVAGE,"휩쓸어 파괴하다; 파괴행위, 파괴적 영향"
OBTUSE,"둔한,이해가 매우 느린;뭉텅한,둔한"
FRAGILE,"약한, 부서지기 쉬운"
PREVARICATE,"얼버무리다, 둘러대다, 속이다"
SMOLDER,연기만 내면서 서서히 타다; (감정) 속에 맺히다; (눈 등이) (감정을) 나타내다
LADLE,국자
HEAVY-HANDED,"서투른,솜씨없는; 고압적인,포악한"
CHARY,조심하는; (금전관련) 신중한
DEFRAY,(비용 등을) 부담하다
FLING,"거칠게 내던지다; 버리다, 폐기하다"
SPECIOUS,"허울좋은, 겉만 번드르르한, 실제로는 잘못된"
ADEPT,솜씨 좋은
SPECTRUM,빛의 분산; 스펙트럼
